Transaction Date,Post Date,Description,Category,Type,Amount,Memo
9/10/2025,9/11/2025,CUB FOODS #01591,Groceries,Sale,-9.74,
9/10/2025,9/11/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-26.43,
9/9/2025,9/10/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-12.43,
9/9/2025,9/10/2025,CUB FOODS #01591,Groceries,Sale,-42.19,
9/8/2025,9/10/2025,TRADER JOE S #715,Groceries,Sale,-21.79,
9/7/2025,9/9/2025,ANGRY TROUT CAFE,Food & Drink,Sale,-72.41,
9/7/2025,9/8/2025,HOLIDAY STATIONS 3516,Gas,Sale,-12.5,
9/7/2025,9/8/2025,SPEEDWAY 04500,Gas,Sale,-42.24,
9/7/2025,9/8/2025,SQ *JAVA MOOSE,Food & Drink,Sale,-7.52,
9/7/2025,9/8/2025,APPLE.COM/BILL,Entertainment,Sale,-10.54,
9/5/2025,9/7/2025,PIERSON PSYCHOLOGICAL,Health & Wellness,Sale,-15,
9/5/2025,9/7/2025,VE ST PAUL,Entertainment,Sale,-10.99,
9/5/2025,9/7/2025,STEAMGAMES.COM 4259522985,Entertainment,Sale,-33.87,
9/4/2025,9/5/2025,SPEEDWAY 46494,Gas,Sale,-31.68,
9/4/2025,9/5/2025,MADISON LA FOLLETTE HI,Gifts & Donations,Sale,-26,
9/4/2025,9/5/2025,SP TC RUNNING CO,Running,Sale,-9.78,
9/4/2025,9/5/2025,SPEEDWAY 46494,Gas,Sale,-11.63,
9/4/2025,9/5/2025,HOLIDAY STATIONS 0362,Gas,Sale,-27.18,
9/3/2025,9/4/2025,AMAZON MKTPL*G22050OG3,Shopping,Sale,-38.1,
9/3/2025,9/4/2025,AMAZON MKTPL*OO5SE1S03,Shopping,Sale,-45.52,
9/3/2025,9/4/2025,AMAZON MKTPL*BK49O45K3,Shopping,Sale,-47.44,
9/3/2025,9/4/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-54.54,
9/3/2025,9/4/2025,AMAZON MKTPL*050234QG3,Shopping,Sale,-44.94,
9/2/2025,9/3/2025,LOADS OF LAUNDRY - OAKDA,Health & Wellness,Sale,-7,
9/2/2025,9/3/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-20.04,
9/2/2025,9/3/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-56.44,
9/3/2025,9/3/2025,PUBLIC STORAGE 25562,Bills & Utilities,Sale,-77,
9/2/2025,9/3/2025,SP TC RUNNING CO,Shopping,Sale,-16.35,
9/1/2025,9/3/2025,KWIK TRIP #1078,Gas,Sale,-12.88,
9/1/2025,9/2/2025,GEICO  *AUTO,Bills & Utilities,Sale,-90.19,
8/31/2025,9/1/2025,FS *klimat,Shopping,Sale,-5,
8/31/2025,9/1/2025,KOWALSKI'S WHT,Groceries,Sale,-5.73,
8/31/2025,9/1/2025,MINNESOTA STATE FAIR,Entertainment,Sale,-20,
8/30/2025,9/1/2025,MT SNELLING AND GRAND,Travel,Sale,-4,
8/30/2025,8/31/2025,SQ *GIGGLES' CAMPFIRE GRI,Food & Drink,Sale,-30.13,
8/30/2025,8/31/2025,BEANS &amp; BEIGNETS,Food & Drink,Sale,-26,
8/30/2025,8/31/2025,LULUS AT THE FAIR 25,Food & Drink,Sale,-13.1,
8/29/2025,8/31/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-12.43,
8/29/2025,8/31/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-51.52,
8/30/2025,8/31/2025,SQ *TRIANGLE ACRES  INC,Groceries,Sale,-8,
8/28/2025,8/31/2025,TST*UTEPILS BREWING,Food & Drink,Sale,-10.7,
8/30/2025,8/31/2025,SQ *FRIENDS OF THE BOUNDA,Gifts & Donations,Sale,-10,
8/28/2025,8/29/2025,MN COURT HENNEPIN WEB SER,Bills & Utilities,Sale,-2.34,
8/28/2025,8/29/2025,MN COURT HENNEPIN,Bills & Utilities,Sale,-45,
8/29/2025,8/29/2025,TGTG vgayvrpatav31,Food & Drink,Sale,-15.98,
8/28/2025,8/29/2025,AXS.COMFIRST AVENUE,Entertainment,Sale,-38.54,
8/27/2025,8/28/2025,SPEEDWAY 46494,Gas,Sale,-28.34,
8/27/2025,8/28/2025,PIERSON PSYCHOLOGICAL,Health & Wellness,Sale,-15,
8/27/2025,8/28/2025,SPEEDWAY 46494,Gas,Sale,-11.63,
8/26/2025,8/28/2025,CENTRO,Food & Drink,Sale,-9.92,
8/26/2025,8/27/2025,SUMMIT LIQUOR,Food & Drink,Sale,-14.4,
8/27/2025,8/27/2025,CENTRO,Food & Drink,Sale,-72.56,
8/26/2025,8/27/2025,SPEEDWAY 46494,Gas,Sale,-11.63,
8/24/2025,8/25/2025,HOLIDAY STATIONS 0325,Gas,Sale,-34.2,
8/25/2025,8/25/2025,TGTG ar4cm71z848j1,Food & Drink,Sale,-4.43,
8/23/2025,8/24/2025,TST* CITY HOUSE,Food & Drink,Sale,-9.93,
8/23/2025,8/24/2025,TST* CITY HOUSE,Food & Drink,Sale,-9.93,
8/22/2025,8/24/2025,CHEWY.COM,Pets,Sale,-125.64,
8/23/2025,8/24/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-44.77,
8/23/2025,8/24/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-12.33,
8/23/2025,8/24/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-10.93,
8/23/2025,8/24/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-0.1,
8/22/2025,8/24/2025,149 GREAT CLIPS AT BERGEN,Health & Wellness,Sale,-27,
8/21/2025,8/22/2025,SQ *LA DONA CERVECERIA,Food & Drink,Sale,-9.6,
8/21/2025,8/22/2025,SQ *LA DONA CERVECERIA,Food & Drink,Sale,-27.6,
8/20/2025,8/21/2025,PIERSON PSYCHOLOGICAL,Health & Wellness,Sale,-15,
8/20/2025,8/21/2025,SQ *MN BRATWERKS  LLC,Groceries,Sale,-25.3,
8/19/2025,8/20/2025,REI.COM  800-426-4840,Shopping,Sale,-9.81,
8/19/2025,8/20/2025,EVERAI,Shopping,Sale,-12.99,
8/19/2025,8/20/2025,HOMEY GNOME VETERINARY C,Pets,Sale,-1221.4,
8/19/2025,8/20/2025,REI.COM  800-426-4840,Shopping,Sale,-9.81,
8/19/2025,8/20/2025,SPOT,Shopping,Sale,-16.27,
8/19/2025,8/19/2025,REI.COM  800-426-4840,Shopping,Sale,-48.98,
8/18/2025,8/19/2025,PIERSON PSYCHOLOGICAL,Health & Wellness,Sale,-15,
8/19/2025,8/19/2025,REI.COM  800-426-4840,Shopping,Sale,-155.5,
8/18/2025,8/19/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-54.12,
8/18/2025,8/18/2025,REI.COM  800-426-4840,Shopping,Sale,-1.96,
8/17/2025,8/18/2025,NYTIMES DISC*,Bills & Utilities,Sale,-4.02,
8/17/2025,8/18/2025,HOLIDAY STATIONS 0024,Gas,Sale,-31.79,
8/16/2025,8/18/2025,MENARDS WEST DULUTH MN,Shopping,Sale,-5.96,
8/15/2025,8/17/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-34.06,
8/14/2025,8/17/2025,TST*DUE FOCACCERIA,Food & Drink,Sale,-11.98,
8/15/2025,8/17/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-48.63,
8/15/2025,8/17/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-35.62,
8/15/2025,8/17/2025,REI #15 BLOOMINGTON,Shopping,Sale,-52.98,
8/16/2025,8/17/2025,MCDONALD'S F15484,Food & Drink,Sale,-13.51,
8/16/2025,8/17/2025,HOLIDAY STATIONS #3842,Gas,Sale,-25.21,
8/13/2025,8/15/2025,365 MARKET N 888 432-3299,Food & Drink,Sale,-3.4,
8/13/2025,8/14/2025,TST* CARIBOU COFFEE - 132,Food & Drink,Sale,-25.18,
8/13/2025,8/14/2025,TST* CARIBOU COFFEE - 132,Food & Drink,Sale,-4.25,
8/12/2025,8/13/2025,WALGREENS #3122,Health & Wellness,Sale,-7.61,
8/11/2025,8/12/2025,MENGUIN,Shopping,Sale,-201,
8/11/2025,8/12/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-72.44,
8/11/2025,8/12/2025,MI PARKS AND HARBORS WEB,Bills & Utilities,Sale,-518.8,
8/9/2025,8/11/2025,IHOP #3268,Food & Drink,Sale,-55.41,
8/10/2025,8/11/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-29.4,
8/10/2025,8/11/2025,CUB FOODS #01591,Groceries,Sale,-2.45,
8/10/2025,8/11/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-27.41,
8/8/2025,8/10/2025,DOMINO'S 2043,Food & Drink,Sale,-33.34,
8/8/2025,8/10/2025,SQ *THE POTTER'S DAUGHTER,Shopping,Sale,-36.04,
8/8/2025,8/10/2025,BP#8498719NORTH STAR BP,Gas,Sale,-40.41,
8/8/2025,8/10/2025,SQ *JAMSEN'S FISH MARKET,Groceries,Sale,-31.2,
8/6/2025,8/8/2025,AMK IR GREENSTONE GRILL,Food & Drink,Sale,-12.41,
8/7/2025,8/8/2025,APPLE.COM/BILL,Shopping,Sale,-10.54,
8/6/2025,8/8/2025,AMK IR GREENSTONE GRILL,Food & Drink,Sale,-56.87,
8/6/2025,8/7/2025,SP ISRO KEWE PKS ASS,Entertainment,Sale,-3.71,
8/5/2025,8/6/2025,VE ST PAUL,Entertainment,Sale,-86.8,
8/4/2025,8/5/2025,SQ *JAMSEN'S FISH MARKET,Groceries,Sale,-7.91,
8/4/2025,8/5/2025,CHEWY.COM,Pets,Sale,-91.2,
8/4/2025,8/5/2025,ISLE ROYALE HARBORSIDE,Travel,Sale,-60,
8/3/2025,8/4/2025,FORT WILKINS STATE PARK,Bills & Utilities,Sale,-11,
8/1/2025,8/3/2025,KWIK TRIP #922,Gas,Sale,-25.11,
7/31/2025,8/3/2025,TST*UTEPILS BREWING,Food & Drink,Sale,-10.7,
8/1/2025,8/3/2025,GEICO  *AUTO,Bills & Utilities,Sale,-90.17,
7/31/2025,8/3/2025,KWIK TRIP #410,Gas,Sale,-2.31,
7/31/2025,8/3/2025,TST*UTEPILS BREWING,Food & Drink,Sale,-10.7,
8/3/2025,8/3/2025,PUBLIC STORAGE 25562,Bills & Utilities,Sale,-77,
7/31/2025,8/3/2025,KWIK TRIP #410,Gas,Sale,-43.67,
7/31/2025,8/1/2025,PIERSON PSYCHOLOGICAL,Health & Wellness,Sale,-15,
7/30/2025,7/31/2025,UWH HL MYCHART,Health & Wellness,Sale,-43.3,
7/29/2025,7/31/2025,CASEYS #1875,Gas,Sale,-17.94,
7/29/2025,7/30/2025,SUMMIT LIQUOR,Food & Drink,Sale,-33.24,
7/28/2025,7/29/2025,DOMINO'S 1917,Food & Drink,Sale,-51.98,
7/26/2025,7/28/2025,SARPINO'S PIZZERIA,Food & Drink,Sale,-48.28,
7/25/2025,7/27/2025,SQ *SLEEPING FAWN RESORT,Entertainment,Sale,-90.97,
7/26/2025,7/27/2025,HOLIDAY STATIONS 3811,Gas,Sale,-42.39,
7/26/2025,7/27/2025,HOLIDAY STATIONS 3811,Gas,Sale,-2.03,
7/25/2025,7/27/2025,PIERSON PSYCHOLOGICAL,Health & Wellness,Sale,-15,
7/22/2025,7/24/2025,RAPID SPIRITS,Food & Drink,Sale,-60.95,
7/22/2025,7/23/2025,WAL-MART #4244,Groceries,Sale,-5.96,
7/22/2025,7/23/2025,CHEWY.COM,Pets,Sale,-75.24,
7/19/2025,7/21/2025,RAPID SPIRITS,Food & Drink,Sale,-34.04,
7/20/2025,7/21/2025,HUGOS #11,Groceries,Sale,-226.91,
7/20/2025,7/21/2025,NYTIMES DISC*,Bills & Utilities,Sale,-4.02,
7/19/2025,7/20/2025,SPOT,Shopping,Sale,-16.27,
7/18/2025,7/20/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-5.68,
7/18/2025,7/20/2025,HOLIDAY STATIONS 0463,Gas,Sale,-26.15,
7/18/2025,7/20/2025,HOLIDAY STATIONS 0463,Gas,Sale,-22.86,
7/19/2025,7/20/2025,EVERAI,Shopping,Sale,-12.99,
7/19/2025,7/20/2025,MUSKIE WATERS,Food & Drink,Sale,-14.89,
7/19/2025,7/20/2025,WAL-MART #4244,Groceries,Sale,-79.94,
7/19/2025,7/20/2025,PIERSON PSYCHOLOGICAL,Health & Wellness,Sale,-15,
7/17/2025,7/18/2025,WHITE DUCK DT,Food & Drink,Sale,-28.01,
7/16/2025,7/18/2025,5 WALNUT WINE BAR,Food & Drink,Sale,-31.4,
7/16/2025,7/18/2025,5 WALNUT WINE BAR,Food & Drink,Sale,-29.2,
7/17/2025,7/18/2025,SQ *WALLS WINE BAR,Shopping,Sale,-23.76,
7/15/2025,7/17/2025,BP#9275389EDGERTON OASIS,Gas,Sale,-88.01,
7/16/2025,7/17/2025,MCDONALD'S M6615,Food & Drink,Sale,-7.07,
7/16/2025,7/17/2025,BP#2008639CAPL IN0073,Gas,Sale,-73.41,
7/16/2025,7/17/2025,PILOT_00219,Gas,Sale,-80.02,
7/16/2025,7/17/2025,BP#2008639CAPL IN0073,Gas,Sale,-24.57,
7/16/2025,7/17/2025,NJ EZPASS,Travel,Sale,-25,
7/15/2025,7/17/2025,WAYPOINT PUBLIC HOUSE,Food & Drink,Sale,-34.99,
7/14/2025,7/15/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-12.24,
7/14/2025,7/15/2025,CUB FOODS - OAKDALE,Groceries,Sale,-39.56,
7/14/2025,7/15/2025,HOMEY GNOME VETERINARY C,Pets,Sale,-321.94,
7/14/2025,7/15/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-44.73,
7/13/2025,7/14/2025,SQ *LAVENDER BLUFF FARM,Shopping,Sale,-15,
7/13/2025,7/14/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-32.98,
7/12/2025,7/14/2025,TST*A-SIDE PUBLIC HOUSE,Food & Drink,Sale,-55.53,
7/12/2025,7/13/2025,HY-VEE F&amp;F OAKDALE 5462,Gas,Sale,-12.24,
7/10/2025,7/13/2025,ALLEGNT AIR RGE,Travel,Sale,-133,
7/12/2025,7/13/2025,PIERSON PSYCHOLOGICAL,Health & Wellness,Sale,-15,
7/12/2025,7/13/2025,TST* CARIBOU COFFEE - 131,Food & Drink,Sale,-7,
7/10/2025,7/11/2025,SPEEDWAY 46494,Gas,Sale,-13.66,
7/10/2025,7/11/2025,ASBURY PARK MUNICIPAL CO,Bills & Utilities,Sale,-51.5,
7/10/2025,7/11/2025,HY-VEE OAKDALE 1462,Groceries,Sale,-29.52,
7/9/2025,7/10/2025,CABIN 61 LLC,Food & Drink,Sale,-82.79,
7/7/2025,7/9/2025,TARGET        00032045,Shopping,Sale,-5.78,
7/7/2025,7/8/2025,APPLE.COM/BILL,Shopping,Sale,-10.54,
7/7/2025,7/8/2025,MARATHON PETRO46185,Gas,Sale,-23.02,
7/7/2025,7/8/2025,MARATHON PETRO46185,Gas,Sale,-12.05,
7/5/2025,7/7/2025,LITTLE ANGIE'S CANTINA,Food & Drink,Sale,-31.81,
7/5/2025,7/7/2025,THE GARDEN WEDDING &amp; EVEN,Food & Drink,Sale,-32.4,
7/5/2025,7/7/2025,THE GARDEN WEDDING &amp; EVEN,Food & Drink,Sale,-21.6,
7/6/2025,7/7/2025,SQ *LOVE CREAMERY CANAL P,Food & Drink,Sale,-15.34,
7/5/2025,7/7/2025,THE GARDEN WEDDING &amp; EVEN,Food & Drink,Sale,-21.6,
7/5/2025,7/7/2025,GREAT LAKES AQUARIUM,Entertainment,Sale,-20,
7/5/2025,7/7/2025,THE GARDEN WEDDING &amp; EVEN,Food & Drink,Sale,-10.8,
7/5/2025,7/7/2025,DULUTH ENTERTAINMENT CONV,Travel,Sale,-10,
7/4/2025,7/6/2025,CUB FOODS #01591,Groceries,Sale,-27.55,
7/4/2025,7/6/2025,WM SUPERCENTER #2643,Groceries,Sale,-32.85,
7/3/2025,7/6/2025,TST*UTEPILS BREWING,Food & Drink,Sale,-10.7,
7/5/2025,7/6/2025,VE ST PAUL,Entertainment,Sale,-86.8,
7/3/2025,7/6/2025,TST*UTEPILS BREWING,Food & Drink,Sale,-11,
